date,ranking,title,writer,press,kategorie
202401,1,이처럼 사소한 것들,클레어 키건,다산책방,소설/시/희곡
202401,2,나는 메트로폴리탄 미술관의 경비원입니다,패트릭 브링리,웅진지식하우스,에세이
202401,3,아이는 무엇으로 자라는가,버지니아 사티어,포레스트북스,좋은부모
202401,4,ETS 토익 정기시험 기출문제집 1000 Vol. 4 Reading (리딩),ETS 엮음,(주)YBM(와이비엠),외국어
202401,5,불변의 법칙,모건 하우절 ,서삼독,경제경영
202401,6,ETS 토익 정기시험 기출문제집 1000 Vol. 4 Listening (리스닝),ETS 엮음,(주)YBM(와이비엠),외국어
202401,7,좋은 문장 표현에서 문장부호까지!,이수연 지음,마리북스,인문학
202401,8,마흔에 읽는 쇼펜하우어,강용수 지음,유노북스,인문학
202401,9,무례한 친구가 생겼어요,크리스티나 퍼니발 ,리틀포레스트,유아
202401,10,세이노의 가르침 (70만 부 기념 빨간 표지),세이노(SayNo) ,데이원,자기계발
202401,11,"오고 있느냐, 봄",이다운 ,용감한까치,에세이
202401,12,해커스 토익 기출 VOCA (보카),David Cho ,해커스어학연구소(Hackers),외국어
202401,13,주술회전 25,아쿠타미 게게,서울미디어코믹스(서울문화사),만화
202401,14,철학은 날씨를 바꾼다,서동욱,김영사,인문학
202401,15,나는 행복한 푸바오 할부지입니다,강철원(에버랜드 동물원) ,시공사,에세이
202401,16,맡겨진 소녀,클레어 키건 ,다산책방,소설/시/희곡
202401,17,"2024 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",최태성,이투스북,수험서/자격증
202401,18,사랑인 줄 알았는데 부정맥,사단법인 전국유료실버타운협회 포푸라샤 편집부,포레스트북스,소설/시/희곡
202401,19,듄 신장판 1~6 세트 - 전6권,프랭크 허버트 ,황금가지,소설/시/희곡
202401,20,"컬처, 문화로 쓴 세계사",마틴 푸크너 ,어크로스,역사
202401,21,퍼스널 MBA,조쉬 카우프만 ,진성북스,경제경영
202401,22,남에게 보여주려고 인생을 낭비하지 마라,아르투어 쇼펜하우어,페이지2(page2),인문학
202401,23,듄 신장판 1,프랭크 허버트 ,황금가지,소설/시/희곡
202401,24,오로라,최진영,위즈덤하우스,소설/시/희곡
202401,25,도둑맞은 집중력,요한 하리 ,어크로스,인문학
202401,26,"2024 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",최태성,이투스북,수험서/자격증
202401,27,비트코인 슈퍼 사이클,신민철(처리형),(주)거인의정원,경제경영
202401,28,설민석의 한국사 대모험 28,설민석.스토리박스,단꿈아이,어린이
202401,29,처음부터 시작하는 주식투자 단타전략,홍인기 ,길벗,경제경영
202401,30,느리게 나이 드는 습관,정희원 ,한빛라이프,건강/취미
202401,31,블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아(RHK),소설/시/희곡
202401,32,사랑을 무게로 안 느끼게,박완서 ,세계사,에세이
202401,33,컨셉 수업,호소다 다카히로,알에이치코리아(RHK),경제경영
202401,34,모순,양귀자 지음,쓰다,소설/시/희곡
202401,35,ETS 토익기출 파트별 VOCA 보카,ETS 지음,(주)YBM(와이비엠),외국어
202401,36,퓨처 셀프,"벤저민 하디 지음, 최은아 옮김",상상스퀘어,자기계발
202401,37,코끼리는 생각하지 마,"조지 레이코프 지음, 유나영 옮김, 나익주 감수",와이즈베리,사회과학
202401,38,로기완을 만났다 (리마스터판),조해진 지음,창비,소설/시/희곡
202401,39,극락가 2,사노 유토 지음,대원씨아이(만화),만화
202401,40,일본 현지 간식 대백과,"일본 추억의 대백과 시리즈 편집부 지음, 수키 옮김",클,여행
202401,41,나는 나의 스무 살을 가장 존중한다,이하영 지음,토네이도,자기계발
202401,42,2024 수제비 정보처리기사 실기 1권+2권 합본세트 - 전2권,윤영빈 외 지음,건기원,컴퓨터/모바일
202401,43,눈물꽃 소년,박노해 지음,느린걸음,에세이
202401,44,빨간내복야코 맞춤법 절대 안 틀리는 책 1,"오차(이영아) 그림, 박종은 글, 샌드박스 네트워크 감수, 빨간내복야코 원작",위즈덤하우스,어린이
202401,45,2024 산업안전기사 실기 [필답형+작업형] + 무료동영상,최윤정 지음,구민사,수험서/자격증
202401,46,맨큐의 경제학,"그레고리 맨큐 지음, 김경환 & 김종석 옮김",Cengage Learning,대학교재/전문서적
202401,47,흔한남매의 흔한 호기심 11,"안치현 지음, 유난희 그림, 이정모 외 감수, 흔한남매 원작",미래엔아이세움,어린이
202401,48,듄의 세계,"톰 허들스턴 지음, 강경아 옮김",황금가지,소설/시/희곡
202401,49,띄어쓰기 경주,"곽미영 지음, 지은 그림",만만한책방,어린이
202401,50,원펀맨 One Punch Man 29,"ONE 지음, 무라타 유스케 그림",대원씨아이(만화),만화
202401,51,똑 부러지게 내 생각을 전하는 말하기 연습,"임정민 지음, 히쩌미 그림",서사원주니어,어린이
202401,52,듄 2 : 메이킹 필름북,"타냐 라푸앵트.스테퍼니 브루스 지음, 김승욱 옮김",문학수첩,예술/대중문화
202401,53,"밥 먹다가, 울컥",박찬일 지음,웅진지식하우스,에세이
202401,54,나에게 들려주는 예쁜 말,"김종원 지음, 나래 그림",상상아이,어린이
202401,55,ETS 토익 단기 공략 750+ (LC + RC),ETS 지음,(주)YBM(와이비엠),외국어
202401,56,폴링 인 폴,백수린 지음,문학동네,소설/시/희곡
202401,57,Go Go 카카오프렌즈 31 : 네팔,"김미영 지음, 김정한 그림",아울북,어린이
202401,58,똑똑한 사람은 어떻게 생각하고 질문하는가,이시한 지음,북플레저,경제경영
202401,59,일본어 무작정 따라하기 완전판,후지이 아사리 지음,길벗이지톡,외국어
202401,60,문호 스트레이독스 24,"아사기리 카프카 지음, 하루카와 산고 그림, 문기업 옮김",영상출판미디어(주),만화
202401,61,해커스 토익 RC Reading(리딩) 기본서,David Cho 지음,해커스어학연구소(Hackers),외국어
202401,62,공장 투자 이렇게 쉬웠어?,"김덕환(긍정케이) 지음, 송희창(송사무장) 감수",지혜로,경제경영
202401,63,거의 모든 묘사 표현의 영어,최주연 지음,사람in,외국어
202401,64,위기 탈출 도감,"스즈키 노리타케 지음, 권남희 옮김",이아소,어린이
202401,65,돈의 심리학 (30만 부 기념 스페셜 에디션),"모건 하우절 지음, 이지연 옮김",인플루엔셜(주),경제경영
202401,66,가여운 것들,"앨러스데어 그레이 지음, 이운경 옮김",황금가지,소설/시/희곡
202401,67,괜찮은 오늘을 기록하고 싶어서,차에셀(빵이) 지음,로그인,자기계발
202401,68,"돈의 속성 (300쇄 리커버 에디션, 양장)",김승호 지음,스노우폭스북스,경제경영
202401,69,해커스 보카 (Hackers Vocabulary),David Cho 지음,해커스어학연구소(Hackers),외국어
202401,70,쉽게 풀어쓴 C언어 Express,천인국 지음,생능,대학교재/전문서적
202401,71,대여금고,"그렉 이건 지음, 김상훈 옮김",허블,소설/시/희곡
202401,72,오십에 읽는 주역,강기진 지음,유노북스,인문학
202401,73,다!다!다! 애장판 (다다다) 9,"카와무라 미카 지음, 심이슬 옮김",서울미디어코믹스(서울문화사),만화
202401,74,이은경쌤의 초등어휘일력 365 (스프링),이은경 지음,포레스트북스,좋은부모
202401,75,거인의 시간,"어맨사 임버 지음, 김지아 옮김",다산북스,자기계발
202401,76,투명 고양이 또또,"소휘 지음, 김수빈 그림",책읽는곰,어린이
202401,77,정철의 로마서 8장 영어로 통독암송,정철 지음,젭스,종교/역학
202401,78,2024 이동기 영어 직전동형 모의고사 Vol.1,이동기 지음,에스티유니타스,수험서/자격증
202401,79,물고기는 존재하지 않는다,"룰루 밀러 지음, 정지인 옮김",곰출판,과학
202401,80,기술주 투자 절대 원칙,"마크 S. F. 마하니 지음, 이주영 옮김",리더스북,경제경영
202401,81,"내전, 대중 혐오, 법치","피에르 다르도.크리스티앙 라발.피에르 소베트르 지음, 정기헌 옮김, 장석준 해제",원더박스,사회과학
202401,82,보스턴 사람들,"헨리 제임스 지음, 김윤하 옮김",은행나무,소설/시/희곡
202401,83,데일 카네기 인간관계론 (무삭제 완역본),"데일 카네기 지음, 임상훈 옮김",현대지성,자기계발
202401,84,현대 이상심리학,권석만 지음,학지사,대학교재/전문서적
202401,85,사요 마요,김현준 지음,위즈덤하우스,경제경영
202401,86,EBS 다큐프라임 자본주의,EBS 자본주의 제작팀 지음,가나출판사,경제경영
202401,87,백앤아 5 : 수리수리 마녀 약방,"돌만 그림, 지유리 글, 백앤아 원작",샌드박스스토리 키즈,어린이
202401,88,진짜 좋아하는 일만 하고 사는 법,"데릭 시버스 지음, 정지현 옮김",현대지성,자기계발
202401,89,인생은 순간이다,김성근 지음,다산북스,에세이
202401,90,오타쿠의 욕망을 읽다,마이너 리뷰 갤러리 지음,메디치미디어,인문학
202401,91,내몸혁명,박용우 지음,루미너스,건강/취미
202401,92,패턴과 구조 영문법,윤규철 지음,BOOK귤,외국어
202401,93,2024 써니 행정법총론 실전동형 모의고사 (기출지문 암기 App과 문제풀이 학습 App 이용쿠폰 제공) - 전2권,박준철 지음,지금(도서출판),수험서/자격증
202401,94,SQL 자격검정 실전문제,한국데이터진흥원 지음,한국데이터산업진흥원,컴퓨터/모바일
202401,95,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 (리커버),"아르투어 쇼펜하우어 지음, 김욱 옮김",포레스트북스,인문학
202401,96,사라진 것들,"앤드루 포터 지음, 민은영 옮김",문학동네,소설/시/희곡
202401,97,대학물리학,"Raymond A. Serway 외 지음, 대학물리학 교재편찬위원회 옮김",북스힐,대학교재/전문서적
202401,98,좋아하기 때문에,나태주 지음,김영사,에세이
202401,99,일러스트 드릴,"사이토 나오키 지음, 박유미 옮김",잉크잼(잼스푼),만화
202401,100,순재와 키완,"오하림 지음, 애슝 그림",문학동네,어린이
202401,101,해커스 토익 LC Listening(리스닝) 기본서,David Cho 지음,해커스어학연구소(Hackers),외국어
202401,102,기도를 송두리째 바꾸신 예수 그리스도,박리부가 지음,규장(규장문화사),종교/역학
202401,103,구의 증명,최진영 지음,은행나무,소설/시/희곡
202401,104,데미안 (오리지널 초판본 표지디자인),"헤르만 헤세 지음, 이미영 옮김, 김선형",코너스톤,소설/시/희곡
202401,105,"2024 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1, 2, 3급)",최태성 지음,이투스북,수험서/자격증
202401,106,세상에서 제일 쉬운 사계절 그림 그리기,카모 지음,북스토리,예술/대중문화
202401,107,Kreyszig 공업수학 (상),"Erwin Kreyszig 지음, 서진헌 외 옮김",텍스트북스(TextBook),대학교재/전문서적
202401,108,이기적 유전자,"리처드 도킨스 지음, 홍영남.이상임 옮김",을유문화사,과학
202401,109,어제 뭐 먹었어? 22,"요시나가 후미 지음, 노미영 옮김",삼양출판사(만화),만화
202401,110,파타 PATA,문가영 지음,위즈덤하우스,에세이
202401,111,최재천의 곤충사회,최재천 지음,열림원,에세이
202401,112,도시와 그 불확실한 벽,"무라카미 하루키 지음, 홍은주 옮김",문학동네,소설/시/희곡
202401,113,2024 이기적 빅데이터분석기사 필기 기본서,나홍석 외 지음,영진.com(영진닷컴),컴퓨터/모바일
202401,114,유목민의 투자의 정석,유목민 지음,리더스북,경제경영
202401,115,트렌드 코리아 2024,김난도 외 지음,미래의창,경제경영
202401,116,작별하지 않는다,한강 지음,문학동네,소설/시/희곡
202401,117,문학을 열다 - 전6권,에토프 그림,스푼북,청소년
202401,118,향기로운 꽃은 늠름하게 핀다 6,미카미 사카 지음,대원씨아이(만화),만화
202401,119,살아가는 힘은 어디에서 나오는가,"마시 코트렐 홀.엘리자베스 엑스트롬 지음, 김한슬기 옮김",웨일북,인문학
202401,120,예술에 대한 여덟 가지 답변의 역사,김진엽 지음,우리학교,예술/대중문화
202401,121,도쿄 리벤저스 : 바지 케이스케로부터의 편지 2,"나츠카와구치 유키노리 지음, 와쿠이 켄 원작",학산문화사(만화),만화
202401,122,2024 에듀윌 스포츠지도사 필기 한권끝장+모의고사 3회분,정수봉 외 지음,에듀윌,수험서/자격증
202401,123,웡카,"시빌 파운더 글, 김난령 옮김, 사이먼 파너비 각본, 폴 킹 시나리오",시공주니어,어린이
202401,124,진짜 쓰는 실무 엑셀,오빠두(전진권) 지음,제이펍,컴퓨터/모바일
202401,125,듄 신장판 2,"프랭크 허버트 지음, 김승욱 옮김",황금가지,소설/시/희곡
202401,126,2024 단기 합격 해커스공기업 NCS 통합 기본서 직업기초능력평가+직무수행능력평가,윤종혁 외 지음,해커스공기업,수험서/자격증
202401,127,세상은 이야기로 만들어졌다,"자미라 엘 우아실.프리데만 카릭 지음, 김현정 옮김",원더박스,인문학
202401,128,현대 심리치료와 상담 이론,권석만 지음,학지사,대학교재/전문서적
202401,129,물질의 세계,"에드 콘웨이 지음, 이종인 옮김",인플루엔셜(주),인문학
202401,130,봄의 폭풍과 몬스터 3,"미츠바치 미유키 지음, 이슬 옮김",학산문화사(만화),만화
202401,131,아주 희미한 빛으로도,최은영 지음,문학동네,소설/시/희곡
202401,132,"싸울게요, 안 죽었으니까",김진주 지음,얼룩소,사회과학
202401,133,전지적 푸바오 시점,"송영관 지음, 송영관.류정훈 사진",위즈덤하우스,에세이
202401,134,키위엔 영어회화 하루 5분의 기적,박강준 지음,키위엔,외국어
202401,135,용선생 교과서 세계사 1,"사회평론 역사연구소 지음, 뭉선생 그림, 전국초등사회교과모임 감수, 이우일 캐릭터",사회평론,어린이
202401,136,나는 배당투자로 매일 스타벅스 커피를 공짜로 마신다,송민섭(수페TV) 지음,21세기북스,경제경영
202401,137,귀신들의 땅,"천쓰홍 지음, 김태성 옮김",민음사,소설/시/희곡
202401,138,더 그레이트 비트코인,오태민 지음,(주)거인의정원,경제경영
202401,139,인간 실격,"다자이 오사무 지음, 김춘미 옮김",민음사,소설/시/희곡
202401,140,처음 읽는 그리스 로마 신화 11,"최설희 지음, 한현동 그림, 정수영 구성",미래엔아이세움,어린이
202401,141,ETS 토익 단기 공략 650+ (LC + RC),ETS 지음,(주)YBM(와이비엠),외국어
202401,142,최소한의 한국사 (10만 부 기념 청자 에디션),최태성 지음,프런트페이지,역사
202401,143,맛있는 지중해식 레시피,김형미 외 지음,비타북스,요리/살림
202401,144,결국 해내는 사람들의 원칙 (리커버 에디션),"앨런 피즈.바바라 피즈 지음, 이재경 옮김",반니,자기계발
202401,145,2024 선재국어 최종 점검 파이널 모의고사,이선재 지음,에스티유니타스,수험서/자격증
202401,146,지적 대화를 위한 넓고 얕은 지식 1,채사장 지음,웨일북,인문학
202401,147,C언어로 쉽게 풀어쓴 자료구조,천인국.공용해.하상호 지음,생능,대학교재/전문서적
202401,148,보카바이블 (VOCA Bible) 4.0 (A권 + B권),허민 지음,스텝업,외국어
202401,149,원씽 The One Thing (60만 부 기념 스페셜 에디션),"게리 켈러 & 제이 파파산 지음, 구세희 옮김",비즈니스북스,자기계발
202401,150,타이탄의 도구들 (블랙 에디션),"팀 페리스 지음, 박선령.정지현 옮김",토네이도,자기계발
202401,151,한 권으로 끝내는 해커스 토익 700+ (LC+RC+VOCA),해커스어학연구소 지음,해커스어학연구소(Hackers),외국어
202401,152,ETS 토익 정기시험 기출입문서 RC 리딩,ETS 지음,와이비엠,외국어
202401,153,모든 것은 기본에서 시작한다,손웅정 지음,수오서재,에세이
202401,154,내가 한 말을 내가 오해하지 않기로 함,문상훈 지음,위너스북,에세이
202401,155,아주 세속적인 지혜,"발타자르 그라시안 지음, 강정선 옮김",페이지2(page2),자기계발
202401,156,일본어 상용한자 무작정 따라하기 1,권경배 지음,길벗이지톡,외국어
202401,157,내 안의 인피니티 스톤을 찾아라,최영숙 지음,미디어숲,청소년
202401,158,헤르만 헤세의 나로 존재하는 법,"헤르만 헤세 지음, 유영미 옮김",뜨인돌,인문학
202401,159,한국 도시의 미래,김시덕 지음,포레스트북스,경제경영
202401,160,총 균 쇠,"제레드 다이아몬드 지음, 강주헌 옮김",김영사,인문학
202401,161,JLPT 일본어능력시험 한권으로 끝내기 N2,이치우.기타지마 치즈코 지음,다락원,외국어
202401,162,먼작귀 5 (레터북 포함 특별판),나가노 지음,미우(대원씨아이),만화
202401,163,내가 생각한 인생이 아니야,류시화 지음,수오서재,에세이
202401,164,놀라움의 힘,"마이클 루셀 지음, 김지연 옮김",상상스퀘어,자기계발
202401,165,영어 필사 100일의 기적,퍼포먼스 코치 리아 지음,넥서스,외국어
202401,166,우리가 작별 인사를 할 때마다,"마거릿 렌클 지음, 최정수 옮김",을유문화사,에세이
