date,ranking,title,writer,press,kategorie
202401,1,이처럼 사소한 것들,클레어 키건,다산책방,소설/시/희곡
202402,1,주술회전 25 더블특전판,"아쿠타미 게게 지음, 이정운 옮김",서울미디어코믹스(서울문화사),만화
202403,1,이처럼 사소한 것들,"클레어 키건 지음, 홍한별 옮김",다산책방,소설/시/희곡
202301,1,세이노의 가르침 (70만 부 기념 빨간 표지),세이노(SayNo) 지음,데이원,자기계발
202302,1,세이노의 가르침 (70만 부 기념 빨간 표지),세이노(SayNo) 지음,데이원,자기계발
202303,1,세이노의 가르침 (70만 부 기념 빨간 표지),세이노(SayNo) 지음,데이원,자기계발
202304,1,세이노의 가르침 (70만 부 기념 빨간 표지),세이노(SayNo) 지음,데이원,자기계발
202305,1,세이노의 가르침 (70만 부 기념 빨간 표지),세이노(SayNo) 지음,데이원,자기계발
202306,1,문과 남자의 과학 공부,유시민 지음,돌베개,인문학
202307,1,문과 남자의 과학 공부,유시민 지음,돌베개,인문학
202308,1,1%를 읽는 힘,메르 지음,토네이도,경제경영
202309,1,도시와 그 불확실한 벽,"무라카미 하루키 지음, 홍은주 옮김",문학동네,소설/시/희곡
202310,1,퓨처 셀프,"벤저민 하디 지음, 최은아 옮김",상상스퀘어,자기계발
202311,1,마흔에 읽는 쇼펜하우어,강용수 지음,유노북스,인문학
202312,1,마흔에 읽는 쇼펜하우어,강용수 지음,유노북스,인문학
202203,1,물고기는 존재하지 않는다,"룰루 밀러 지음, 정지인 옮김",곰출판,과학
202204,1,2022 제13회 젊은작가상 수상작품집,임솔아 외 지음,문학동네,소설/시/희곡
202205,1,작별인사,김영하 지음,복복서가,소설/시/희곡
202206,1,작별인사,김영하 지음,복복서가,소설/시/희곡
202207,1,헤어질 결심 각본,박찬욱.정서경 지음,을유문화사,예술/대중문화
202208,1,하얼빈,김훈 지음,문학동네,소설/시/희곡
202209,1,데뷔 못 하면 죽는 병 걸림 1부 초판 한정 굿즈박스 세트,백덕수 지음,위시북스(KW북스),소설/시/희곡
202210,1,트렌드 코리아 2023,김난도 외 지음,미래의창,경제경영
202401,2,나는 메트로폴리탄 미술관의 경비원입니다,패트릭 브링리,웅진지식하우스,에세이
202402,2,이처럼 사소한 것들,"클레어 키건 지음, 홍한별 옮김",다산책방,소설/시/희곡
202403,2,나는 메트로폴리탄 미술관의 경비원입니다,"패트릭 브링리 지음, 김희정.조현주 옮김",웅진지식하우스,에세이
202301,2,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,이노우에 타케히코 지음,대원씨아이(만화),만화
