bookstore,date,ranking,title,writer,press,category
KYOBO,2024-02,1,나는 메트로폴리탄 미술관의 경비원입니다,패트릭 브링리,웅진지식하우스,시/에세이
KYOBO,2024-02,2,마흔에 읽는 쇼펜하우어,강용수,유노북스,인문
KYOBO,2024-02,3,박근혜 회고록 1: 어둠을 지나 미래로,박근혜,중앙북스,정치/사회
KYOBO,2024-02,4,세이노의 가르침,세이노(SayNo),데이원,자기계발
KYOBO,2024-02,5,이처럼 사소한 것들,클레어 키건,다산책방,소설
KYOBO,2024-02,6,아이는 무엇으로 자라는가,버지니아 사티어,포레스트북스,가정/육아
KYOBO,2024-02,7,퓨처 셀프,벤저민 하디,상상스퀘어,자기계발
KYOBO,2024-02,8,모순,양귀자,쓰다,소설
KYOBO,2024-02,9,도둑맞은 집중력,요한 하리,어크로스,인문
KYOBO,2024-02,10,생각이 너무 많은 어른들을 위한 심리학(10만 부 기념 스페셜 에디션),김혜남,메이븐,인문
KYOBO,2024-02,11,보편의 단어,이기주,말글터,시/에세이
KYOBO,2024-02,12,처음부터 시작하는 주식투자 단타전략,홍인기,길벗,경제/경영
KYOBO,2024-02,13,똑똑한 사람은 어떻게 생각하고 질문하는가,이시한,북플레저,자기계발
KYOBO,2024-02,14,데일 카네기 인간관계론(무삭제 완역본),데일 카네기,현대지성,자기계발
KYOBO,2024-02,15,남에게 보여주려고 인생을 낭비하지 마라,쇼펜하우어,페이지2북스,인문
KYOBO,2024-02,16,내가 한 말을 내가 오해하지 않기로 함,문상훈,위너스북,시/에세이
KYOBO,2024-02,17,퍼스널 MBA(10주년 기념 증보판),조시 카우프만,진성북스,경제/경영
KYOBO,2024-02,18,영어필사 100일의 기적,퍼포먼스 코치 리아,넥서스,외국어
KYOBO,2024-02,19,역행자(확장판),자청,웅진지식하우스,자기계발
KYOBO,2024-02,20,트렌드 코리아 2024,김난도 외,미래의창,경제/경영
KYOBO,2024-02,21,흔한남매 15,흔한남매,미래엔아이세움,어린이(초등)
KYOBO,2024-02,22,사랑을 무게로 안 느끼게,박완서,세계사,시/에세이
