date,raanking,title,writer,press,kategorie
202402,1,마흔에 읽는 쇼펜하우어,강용수 저,유노북스,인문
202401,1,마흔에 읽는 쇼펜하우어,강용수 저,유노북스,인문
202301,1,만일 내가 인생을 다시 산다면 (35만 부 기념 스페셜 에디션),김혜남 저,메이븐,인문
202302,1,김미경의 마흔 수업,김미경 저,어웨이크북스,자기계발
202303,1,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202304,1,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202305,1,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202306,1,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202307,1,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202308,1,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202309,1,도시와 그 불확실한 벽,무라카미 하루키 저/홍은주 역,문학동네,소설/시/희곡
202310,1,트렌드 코리아 2024,"김난도,전미영,최지혜,이수진,권정윤,한다혜,이준영,이향은,이혜원,추예린,전다현 공저",미래의창,경제 경영
202311,1,마흔에 읽는 쇼펜하우어,강용수 저,유노북스,인문
202312,1,마흔에 읽는 쇼펜하우어,강용수 저,유노북스,인문
202203,1,불편한 편의점,김호연 저,나무옆의자,소설/시/희곡
202204,1,불편한 편의점,김호연 저,나무옆의자,국내도서-소설/시/희곡
202205,1,작별인사,김영하 저,복복서가,국내도서-소설/시/희곡
202206,1,역행자,자청 저,웅진지식하우스,국내도서-자기계발
202207,1,헤어질 결심 각본,"정서경,박찬욱 공저",을유문화사,국내도서-예술
202208,1,하얼빈,김훈 저,문학동네,국내도서-소설/시/희곡
202209,1,역행자,자청 저,웅진지식하우스,국내도서-자기계발
202210,1,트렌드 코리아 2023,"김난도,전미영,최지혜,이수진,권정윤,이준영,이향은,한다혜,이혜원,추예린,전다현 공저",미래의창,국내도서-경제 경영
202211,1,트렌드 코리아 2023,"김난도,전미영,최지혜,이수진,권정윤,이준영,이향은,한다혜,이혜원,추예린,전다현 공저",미래의창,국내도서-경제 경영
202212,1,만일 내가 인생을 다시 산다면 (35만 부 기념 스페셜 에디션),김혜남 저,메이븐,국내도서-인문
202402,2,나는 메트로폴리탄 미술관의 경비원입니다,"패트릭 브링리 저/김희정,조현주 역",웅진지식하우스,에서이
202401,2,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202301,2,스카이 버스,분당강쌤 저,다산에듀,가정 살림
202302,2,만일 내가 인생을 다시 산다면 (35만 부 기념 스페셜 에디션),김혜남 저,메이븐,인문
202303,2,김미경의 마흔 수업,김미경 저,어웨이크북스,자기계발
202304,2,김미경의 마흔 수업,김미경 저,어웨이크북스,자기계발
202305,2,흔한남매 13,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,어린이
202306,2,문과 남자의 과학 공부,유시민 저,돌베개,인문
202307,2,문과 남자의 과학 공부,유시민 저,돌베개,인문
202308,2,1%를 읽는 힘,메르 저,토네이도,경제 경영
202309,2,퓨처 셀프,벤저민 하디 저/최은아 역,상상스퀘어,자기계발
202310,2,퓨처 셀프,벤저민 하디 저/최은아 역,상상스퀘어,자기계발
202311,2,전지적 푸바오 시점,"송영관 저/송영관,류정훈 사진",위즈덤하우스,에서이
202312,2,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202203,2,가불 선진국,조국 저,메디치미디어,사회 정치
202204,2,가불 선진국,조국 저,메디치미디어,국내도서-사회 정치
202205,2,5년 후 나에게 Q&A a day (2024 판타지아 Edition),포터 스타일 저/정지현 역,토네이도,국내도서-자기계발
202206,2,작별인사,김영하 저,복복서가,국내도서-소설/시/희곡
202207,2,역행자,자청 저,웅진지식하우스,국내도서-자기계발
202208,2,불편한 편의점 2,김호연 저,나무옆의자,국내도서-소설/시/희곡
202209,2,하얼빈,김훈 저,문학동네,국내도서-소설/시/희곡
202210,2,아버지의 해방일지,정지아 저,창비,국내도서-소설/시/희곡
202211,2,역행자,자청 저,웅진지식하우스,국내도서-자기계발
